Name	CAS nr	εr	nD	Kirkwood	f(nD)	g(εr)
acetonitrile	75-05-8	37.5	1.344	0.480	0.287	0.948
acetophenone	98-86-2	17.4	1.533	0.458	0.403	0.891
acetyl chloride	75-36-5	15.8	1.390	0.454	0.318	0.881
aniline	62-53-3	6.7	1.583	0.396	0.430	0.740
benzene	71-43-2	2.3	1.501	0.230	0.385	0.390
benzonitrile	100-47-0	26.0	1.528	0.472	0.400	0.926
benzyl acetate	140-11-4	5.1	1.523	0.366	0.398	0.672
benzyl alcohol	100-51-6	13.0	1.540	0.444	0.407	0.857
benzyl chloride	100-44-7	7.0	1.539	0.400	0.406	0.750
benzyl ethyl ether	539-30-0	3.9	1.496	0.330	0.382	0.592
benzylamine	100-46-9	4.6	1.544	0.353	0.409	0.643
bis(2-chloroethyl) ether	111-44-4	20.8	1.457	0.465	0.360	0.908
bis(2-methoxyethyl) ether	111-96-6	7.3	1.408	0.404	0.329	0.759
bis(2-methylpropyl)amine	110-96-3	2.7	1.409	0.266	0.330	0.459
bis(3-methylbutyl) ether	544-01-4	2.8	1.409	0.274	0.330	0.476
bis(3-methylbutyl)amine	544-00-3	2.5	1.423	0.250	0.339	0.429
bromobenzene	108-86-1	5.4	1.559	0.373	0.417	0.688
bromoethane	74-96-4	4.9	1.425	0.361	0.340	0.661
bromotrichloromethane	75-62-7	2.5	1.506	0.247	0.388	0.424
butanal	123-72-8	13.4	1.394	0.446	0.321	0.861
butane	106-97-8	1.8	1.333	0.170	0.279	0.278
butanenitrile	109-74-0	20.7	1.384	0.465	0.314	0.908
butanethiol	109-79-5	5.0	1.443	0.362	0.351	0.664
butanoic acid	107-92-6	2.8	1.398	0.273	0.323	0.474
butanol	71-36-3	17.5	1.399	0.458	0.324	0.892
butyl acetate	123-86-4	5.0	1.394	0.364	0.321	0.667
butyl nitrate	928-45-0	13.1	1.406	0.445	0.328	0.858
butylamine	109-73-9	5.4	1.401	0.373	0.325	0.688
butyric anhydride	106-31-0	12.8	1.413	0.444	0.333	0.855
carbon disulfide	75-15-0	2.6	1.628	0.261	0.452	0.451
chloroacetonitrile	107-14-2	30.0	1.424	0.475	0.339	0.935
chlorobenzene	108-90-7	5.6	1.525	0.377	0.398	0.698
chlorocyclohexane	542-18-7	7.6	1.462	0.407	0.363	0.767
cis-1,2-dichloroethene	156-59-2	9.2	1.446	0.423	0.353	0.804
cis-decalin	493-01-6	2.2	1.480	0.225	0.373	0.381
cumene	98-82-8	2.4	1.491	0.240	0.379	0.409
cycloheptane	291-64-5	2.1	1.445	0.209	0.352	0.351
cycloheptatriene	544-25-2	2.5	1.517	0.253	0.394	0.435
cyclohexanamine	108-91-8	4.4	1.459	0.348	0.361	0.632
cyclohexane	110-82-7	1.9	1.426	0.185	0.341	0.306
cyclohexanol	108-93-0	15.0	1.465	0.452	0.364	0.875
cyclohexanone	108-94-1	18.2	1.448	0.460	0.354	0.896
cyclohexene	110-83-8	2.2	1.447	0.224	0.354	0.379
cyclooctane	292-64-8	2.1	1.459	0.214	0.361	0.359
cyclooctatetraene	629-20-9	2.5	1.538	0.247	0.406	0.422
cyclopentane	287-92-7	1.8	1.406	0.179	0.328	0.296
cyclopentanol	96-41-3	18.0	1.453	0.459	0.357	0.895
cyclopentanone	120-92-3	14.5	1.437	0.450	0.347	0.871
decane	124-18-5	2.0	1.408	0.194	0.329	0.322
decanol	112-30-1	8.1	1.437	0.413	0.347	0.780
di-n-butyl phthalate	84-74-2	6.4	1.493	0.392	0.381	0.731
di-n-butyl sulfide	544-40-1	4.4	1.453	0.347	0.357	0.630
di-tert-butyl ether	6163-66-2	3.1	1.394	0.289	0.320	0.506
diallylamine	124-02-7	3.8	1.441	0.325	0.350	0.582
dibenzyl ether	103-50-4	3.9	1.561	0.328	0.418	0.588
dibromomethane	74-95-3	7.8	1.541	0.410	0.407	0.773
dibutyl ether	142-96-1	3.1	1.397	0.292	0.322	0.512
dichloromethane	75-09-2	8.9	1.424	0.420	0.340	0.799
diethyl (2E)-2-butenedioate	623-91-6	6.6	1.441	0.394	0.350	0.735
diethyl carbonate	105-58-8	3.1	1.384	0.292	0.314	0.512
diethyl decanedioate	110-40-7	5.0	1.437	0.364	0.347	0.667
diethyl ether	60-29-7	4.3	1.352	0.345	0.293	0.625
diethyl propanedioate	105-53-3	7.9	1.414	0.410	0.333	0.775
diethyl sulfide	352-93-2	7.2	1.442	0.403	0.351	0.756
diethyl sulfite	623-81-4	16.2	1.414	0.455	0.333	0.884
diethylamine	109-89-7	3.7	1.386	0.321	0.315	0.574
diethylene glycol	111-46-6	31.7	1.445	0.477	0.352	0.939
diiodomethane	75-11-6	5.3	1.740	0.371	0.503	0.683
diisopropyl ether	108-20-3	4.0	1.368	0.335	0.304	0.603
diisopropyl sulfide	625-80-9	5.8	1.439	0.381	0.348	0.706
diisopropylamine	108-18-9	3.0	1.392	0.288	0.319	0.505
dimethoxymethane	109-87-5	2.7	1.353	0.266	0.293	0.459
dimethyl butanedioate	106-65-0	5.1	1.420	0.366	0.337	0.672
dimethyl carbonate	616-38-6	3.2	1.368	0.296	0.303	0.520
dimethyl disulfide	624-92-0	9.8	1.525	0.427	0.399	0.814
dimethyl formamide	68-12-2		38	1.430	0.480	0.177	0.949
dimethyl phthalate	131-11-3	8.5	1.515	0.417	0.393	0.789
dimethyl sulfate	77-78-1	50.3	1.386	0.485	0.315	0.961
dimethyl sulfide	75-18-3	6.3	1.435	0.390	0.346	0.726
dimethyl sulfoxide	67-68-5	46.7	1.479	0.484	0.373	0.958
dioxane	123-91-1	2.3	1.422	0.227	0.338	0.385
dipentyl ether	693-65-2	3.1	1.412	0.292	0.332	0.512
dipentyl sulfide	872-10-6	3.8	1.456	0.327	0.359	0.586
diphenyl ether	101-84-8	3.9	1.579	0.330	0.427	0.592
diphenylmethane	101-81-5	2.6	1.575	0.259	0.425	0.446
dipropyl ether	111-43-3	3.4	1.381	0.307	0.312	0.544
dodecane	112-40-3	2.0	1.422	0.200	0.338	0.333
dodecanenitrile	2437-25-4	10.1	1.435	0.429	0.346	0.820
ethanediol	107-21-1	37.7	1.429	0.480	0.343	0.948
ethanethiol	75-08-1	6.9	1.432	0.399	0.344	0.747
ethanol	64-17-5	24.6	1.361	0.470	0.299	0.922
ethoxyacetylene	927-80-0	8.1	1.378	0.412	0.310	0.779
ethyl 2-bromopropionate	535-11-5	9.3	1.449	0.423	0.355	0.806
ethyl 2-hydroxypropanoate	97-64-3	13.1	1.415	0.445	0.334	0.858
ethyl 3-oxobutanoate	141-97-9	15.7	1.419	0.454	0.336	0.880
ethyl 4-oxopentanoate	539-88-8	11.9	1.423	0.440	0.339	0.845
ethyl acetate	141-78-6	6.0	1.372	0.385	0.306	0.715
ethyl benzoate	93-89-0	6.0	1.505	0.385	0.387	0.714
ethyl chloroacetate	105-39-5	12.8	1.421	0.444	0.338	0.855
ethyl dodecanoate	106-33-2	3.4	1.431	0.310	0.344	0.550
ethyl formate	109-94-4	8.4	1.359	0.416	0.297	0.787
ethyl hexanoate	123-66-0	4.6	1.407	0.352	0.329	0.641
ethyl isothiocyanate	542-85-8	19.5	1.510	0.463	0.390	0.902
ethyl nitrate	625-58-1	19.4	1.385	0.462	0.315	0.902
ethyl pentyl ether	17952-11-3	3.6	1.393	0.317	0.320	0.565
ethyl phenyl ether	103-73-1	4.2	1.507	0.341	0.389	0.617
ethyl propiolate	623-47-2	7.0	1.411	0.400	0.331	0.750
ethyl salicylate	118-61-6	8.6	1.522	0.418	0.397	0.792
ethyl thiocyanate	542-90-5	29.3	1.462	0.475	0.363	0.934
ethyl trichloroacetate	515-84-4	7.8	1.450	0.410	0.355	0.773
ethyl undecanoate	627-90-7	3.6	1.428	0.315	0.342	0.560
ethylbenzene	100-41-4	2.4	1.493	0.242	0.381	0.413
ethynylbenzene	536-74-3	3.0	1.548	0.285	0.411	0.499
fluorobenzene	462-06-6	5.6	1.465	0.376	0.364	0.695
formamide	75-12-7	84.0	1.447	0.491	0.354	0.976
formic acid	64-18-6	58.5	1.370	0.487	0.305	0.966
furan	110-00-9	2.9	1.420	0.279	0.337	0.487
furfural	98-01-1	41.9	1.524	0.482	0.398	0.953
g-valerolactone	542-28-9	36.1	1.457	0.480	0.360	0.946
heptane	142-82-5	1.9	1.388	0.190	0.316	0.315
heptanoic acid	111-14-8	2.6	1.422	0.257	0.338	0.443
heptanol	111-70-6	12.1	1.423	0.440	0.339	0.847
hexachloro-1,3-butadiene	87-68-3	2.6	1.556	0.257	0.415	0.443
hexachloroacetone	116-16-5	4.0	1.511	0.333	0.391	0.599
hexachlorocyclopentadiene	77-47-4	2.9	1.564	0.280	0.420	0.488
hexachloropropene	1888-71-7	2.8	1.550	0.271	0.412	0.471
hexadecane	544-76-3	2.1	1.435	0.206	0.346	0.344
hexafluorobenzene	392-56-3	2.1	1.378	0.206	0.310	0.344
hexamethylphosphoramide	680-31-9	30.0	1.466	0.475	0.365	0.935
hexamethylphosphorothioic triamideacid triamide	3732-82-9	39.5	1.507	0.481	0.389	0.951
hexane	110-54-3	1.9	1.375	0.188	0.308	0.310
hexanenitrile	628-73-9	17.3	1.407	0.458	0.329	0.890
hexanoic acid	142-62-1	2.6	1.416	0.260	0.335	0.449
hexanol	111-27-3	13.3	1.418	0.446	0.336	0.860
iodobenzene	591-50-4	4.6	1.620	0.353	0.448	0.643
iodoethane	75-03-6	7.4	1.390	0.405	0.318	0.762
iodomethane	74-88-4	6.9	1.532	0.399	0.402	0.747
m-xylene	108-38-3	2.4	1.497	0.241	0.383	0.412
meso-2,3-dibromobutane2,3-dibromobutane	5780-13-2	6.2	1.515	0.389	0.393	0.724
methanol	67-56-1	32.7	1.328	0.477	0.277	0.941
methoxybenzene	100-66-3	4.3	1.517	0.345	0.394	0.625
methoxysulfinyloxymethane	616-42-2	21.9	1.409	0.467	0.330	0.913
methyl (Z)-9-octadecenoate	112-62-9	3.2	1.455	0.299	0.358	0.528
methyl 2-hydroxybenzoate	119-36-8	9.0	1.537	0.421	0.405	0.800
methyl 2-methyl-2-propenoate	80-62-6	2.9	1.415	0.279	0.334	0.487
methyl 2-propenoate	96-33-3	7.1	1.408	0.402	0.329	0.754
methyl acetate	79-20-9	6.7	1.362	0.396	0.299	0.740
methyl benzoate	93-58-3	6.6	1.517	0.394	0.394	0.737
methyl butanoate	623-42-7	5.5	1.387	0.375	0.316	0.692
